location.length,location.shape.links,incidentDetails.id,incidentDetails.hrn,incidentDetails.originalId,incidentDetails.originalHrn,incidentDetails.startTime,incidentDetails.endTime,incidentDetails.entryTime,incidentDetails.roadClosed,incidentDetails.criticality,incidentDetails.type,incidentDetails.codes,incidentDetails.description.value,incidentDetails.description.language,incidentDetails.summary.value,incidentDetails.summary.language,incidentDetails.junctionTraversability,incidentDetails.vehicleRestrictions,incidentDetails.comment
41.0,"[{'points': [{'lat': 51.51744, 'lng': -0.10785}, {'lat': 51.51754, 'lng': -0.10781}, {'lat': 51.51759, 'lng': -0.10777}], 'length': 18.0}, {'points': [{'lat': 51.51759, 'lng': -0.10777}, {'lat': 51.51767, 'lng': -0.1077}, {'lat': 51.51777, 'lng': -0.10761}], 'length': 23.0}]",1183295346067664606,here:traffic:incident:1183295346067664606,1183295346067664606,here:traffic:incident:1183295346067664606,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
115.0,"[{'points': [{'lat': 51.51367, 'lng': -0.14882}, {'lat': 51.51334, 'lng': -0.14865}], 'length': 39.0}, {'points': [{'lat': 51.51334, 'lng': -0.14865}, {'lat': 51.51306, 'lng': -0.14852}], 'length': 32.0}, {'points': [{'lat': 51.51306, 'lng': -0.14852}, {'lat': 51.51268, 'lng': -0.14836}], 'length': 44.0}]",4359858071885239897,here:traffic:incident:4359858071885239897,4359858071885239897,here:traffic:incident:4359858071885239897,2024-06-03T23:00:00Z,2027-04-29T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
57.0,"[{'points': [{'lat': 51.51435, 'lng': -0.13686}, {'lat': 51.51482, 'lng': -0.13718}], 'length': 57.0}]",2211171662017733891,here:traffic:incident:2211171662017733891,2211171662017733891,here:traffic:incident:2211171662017733891,2024-08-18T23:00:00Z,2024-11-30T17:00:00Z,2024-10-24T15:54:37Z,False,low,construction,[701],Road construction,en-US,Road construction,en-US,,,
12.0,"[{'points': [{'lat': 51.51376, 'lng': -0.12332}, {'lat': 51.51383, 'lng': -0.12319}], 'length': 12.0}]",1551070251092760938,here:traffic:incident:1551070251092760938,1760477732195675370,here:traffic:incident:1760477732195675370,2024-10-23T22:55:28Z,2024-10-25T16:55:28Z,2024-10-24T17:00:27Z,True,critical,roadClosure,[401],At Covent Garden - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
76.0,"[{'points': [{'lat': 51.51326, 'lng': -0.14747}, {'lat': 51.51306, 'lng': -0.14852}], 'length': 76.0}]",3511127021366007976,here:traffic:incident:3511127021366007976,3511127021366007976,here:traffic:incident:3511127021366007976,2023-11-24T12:09:38Z,2027-04-27T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
153.0,"[{'points': [{'lat': 51.51231, 'lng': -0.1445}, {'lat': 51.5119, 'lng': -0.14408}], 'length': 54.0}, {'points': [{'lat': 51.5119, 'lng': -0.14408}, {'lat': 51.51115, 'lng': -0.1433}], 'length': 99.0}]",2228928282628699985,here:traffic:incident:2228928282628699985,2228928282628699985,here:traffic:incident:2228928282628699985,2024-10-22T07:00:00Z,2024-10-24T22:59:59Z,2024-10-24T17:42:28Z,False,critical,construction,[701],At Soho - Road construction,en-US,Road construction,en-US,,,
92.0,"[{'points': [{'lat': 51.50772, 'lng': -0.14743}, {'lat': 51.50824, 'lng': -0.1464}], 'length': 92.0}]",4291676625352607575,here:traffic:incident:4291676625352607575,4291676625352607575,here:traffic:incident:4291676625352607575,2024-10-21T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[401, 807]",Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
97.0,"[{'points': [{'lat': 51.50561, 'lng': -0.12677}, {'lat': 51.50572, 'lng': -0.12641}, {'lat': 51.5058, 'lng': -0.12608}, {'lat': 51.5059, 'lng': -0.12573}, {'lat': 51.50597, 'lng': -0.12549}], 'length': 97.0}]",4412030515409521269,here:traffic:incident:4412030515409521269,4412030515409521269,here:traffic:incident:4412030515409521269,2024-09-19T07:00:00Z,2024-11-02T18:00:00Z,2024-10-24T16:51:42Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
76.0,"[{'points': [{'lat': 51.51306, 'lng': -0.14852}, {'lat': 51.51326, 'lng': -0.14747}], 'length': 76.0}]",1785318500019990701,here:traffic:incident:1785318500019990701,1785318500019990701,here:traffic:incident:1785318500019990701,2023-11-24T12:09:38Z,2027-04-27T23:59:00Z,2024-10-24T15:54:37Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
657.0,"[{'points': [{'lat': 51.50972, 'lng': -0.11858}, {'lat': 51.50959, 'lng': -0.11889}, {'lat': 51.50948, 'lng': -0.11915}, {'lat': 51.50937, 'lng': -0.11937}, {'lat': 51.50923, 'lng': -0.11963}, {'lat': 51.5091, 'lng': -0.11984}], 'length': 111.0}, {'points': [{'lat': 51.5091, 'lng': -0.11984}, {'lat': 51.50892, 'lng': -0.12011}, {'lat': 51.50873, 'lng': -0.12038}, {'lat': 51.50859, 'lng': -0.12056}], 'length': 75.0}, {'points': [{'lat': 51.50859, 'lng': -0.12056}, {'lat': 51.50838, 'lng': -0.12081}, {'lat': 51.50822, 'lng': -0.12098}], 'length': 50.0}, {'points': [{'lat': 51.50822, 'lng': -0.12098}, {'lat': 51.50801, 'lng': -0.12119}, {'lat': 51.50781, 'lng': -0.12136}], 'length': 53.0}, {'points': [{'lat': 51.50781, 'lng': -0.12136}, {'lat': 51.50775, 'lng': -0.12141}], 'length': 8.0}, {'points': [{'lat': 51.50775, 'lng': -0.12141}, {'lat': 51.50745, 'lng': -0.12165}], 'length': 37.0}, {'points': [{'lat': 51.50745, 'lng': -0.12165}, {'lat': 51.50736, 'lng': -0.12172}, {'lat': 51.50726, 'lng': -0.1218}, {'lat': 51.50724, 'lng': -0.12181}], 'length': 26.0}, {'points': [{'lat': 51.50724, 'lng': -0.12181}, {'lat': 51.50716, 'lng': -0.12188}], 'length': 10.0}, {'points': [{'lat': 51.50716, 'lng': -0.12188}, {'lat': 51.50707, 'lng': -0.12195}], 'length': 11.0}, {'points': [{'lat': 51.50707, 'lng': -0.12195}, {'lat': 51.507, 'lng': -0.12201}, {'lat': 51.50688, 'lng': -0.1221}], 'length': 24.0}, {'points': [{'lat': 51.50688, 'lng': -0.1221}, {'lat': 51.50681, 'lng': -0.12216}], 'length': 9.0}, {'points': [{'lat': 51.50681, 'lng': -0.12216}, {'lat': 51.50672, 'lng': -0.12222}], 'length': 11.0}, {'points': [{'lat': 51.50672, 'lng': -0.12222}, {'lat': 51.50666, 'lng': -0.12226}], 'length': 7.0}, {'points': [{'lat': 51.50666, 'lng': -0.12226}, {'lat': 51.50659, 'lng': -0.1223}], 'length': 8.0}, {'points': [{'lat': 51.50659, 'lng': -0.1223}, {'lat': 51.50647, 'lng': -0.12238}], 'length': 14.0}, {'points': [{'lat': 51.50647, 'lng': -0.12238}, {'lat': 51.50626, 'lng': -0.12251}], 'length': 25.0}, {'points': [{'lat': 51.50626, 'lng': -0.12251}, {'lat': 51.50609, 'lng': -0.12262}], 'length': 20.0}, {'points': [{'lat': 51.50609, 'lng': -0.12262}, {'lat': 51.50594, 'lng': -0.1227}], 'length': 18.0}, {'points': [{'lat': 51.50594, 'lng': -0.1227}, {'lat': 51.50582, 'lng': -0.12276}, {'lat': 51.50558, 'lng': -0.12286}], 'length': 42.0}, {'points': [{'lat': 51.50558, 'lng': -0.12286}, {'lat': 51.50484, 'lng': -0.1231}], 'length': 84.0}, {'points': [{'lat': 51.50484, 'lng': -0.1231}, {'lat': 51.50472, 'lng': -0.12314}], 'length': 14.0}]",2856121292546983431,here:traffic:incident:2856121292546983431,2856121292546983431,here:traffic:incident:2856121292546983431,2024-10-14T20:00:00Z,2024-11-04T23:59:00Z,2024-10-24T16:51:42Z,False,minor,construction,"[641, 806]",At Westminster Bridge - One lane closed,en-US,One lane closed,en-US,,,
20.0,"[{'points': [{'lat': 51.505, 'lng': -0.11638}, {'lat': 51.50504, 'lng': -0.11634}, {'lat': 51.50515, 'lng': -0.11623}], 'length': 20.0}]",283005049400253360,here:traffic:incident:283005049400253360,283005049400253360,here:traffic:incident:283005049400253360,2024-09-10T07:00:00Z,2024-11-03T18:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 708]",Road construction,en-US,Road construction,en-US,,,
49.0,"[{'points': [{'lat': 51.512, 'lng': -0.1335}, {'lat': 51.51221, 'lng': -0.13369}], 'length': 27.0}, {'points': [{'lat': 51.51221, 'lng': -0.13369}, {'lat': 51.51237, 'lng': -0.13387}], 'length': 22.0}]",3434021741267880973,here:traffic:incident:3434021741267880973,3434021741267880973,here:traffic:incident:3434021741267880973,2024-08-19T07:00:00Z,2025-02-12T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
76.0,"[{'points': [{'lat': 51.51837, 'lng': -0.10586}, {'lat': 51.5177, 'lng': -0.10609}], 'length': 76.0}]",3552657896166709751,here:traffic:incident:3552657896166709751,3552657896166709751,here:traffic:incident:3552657896166709751,2024-10-19T07:00:00Z,2024-11-03T17:00:00Z,2024-10-24T02:14:17Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 19/10/2024 - 03/11/2024 (City of London Corporation)
69.0,"[{'points': [{'lat': 51.51441, 'lng': -0.12572}, {'lat': 51.51457, 'lng': -0.12538}], 'length': 29.0}, {'points': [{'lat': 51.51457, 'lng': -0.12538}, {'lat': 51.51482, 'lng': -0.12496}], 'length': 40.0}]",610496495634355986,here:traffic:incident:610496495634355986,610496495634355986,here:traffic:incident:610496495634355986,2024-07-14T23:00:00Z,2024-12-30T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
24.0,"[{'points': [{'lat': 51.50056, 'lng': -0.13183}, {'lat': 51.50069, 'lng': -0.13174}, {'lat': 51.50075, 'lng': -0.13166}], 'length': 24.0}]",3304942631820607799,here:traffic:incident:3304942631820607799,3304942631820607799,here:traffic:incident:3304942631820607799,2024-06-09T23:00:00Z,2024-11-30T17:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 520]",Road construction,en-US,Road construction,en-US,,,
200.0,"[{'points': [{'lat': 51.51268, 'lng': -0.14836}, {'lat': 51.51306, 'lng': -0.14852}], 'length': 44.0}, {'points': [{'lat': 51.51306, 'lng': -0.14852}, {'lat': 51.51334, 'lng': -0.14865}], 'length': 32.0}, {'points': [{'lat': 51.51334, 'lng': -0.14865}, {'lat': 51.51367, 'lng': -0.14882}], 'length': 39.0}, {'points': [{'lat': 51.51367, 'lng': -0.14882}, {'lat': 51.51419, 'lng': -0.14909}], 'length': 61.0}, {'points': [{'lat': 51.51419, 'lng': -0.14909}, {'lat': 51.5144, 'lng': -0.14918}], 'length': 24.0}]",2764640222589760605,here:traffic:incident:2764640222589760605,2764640222589760605,here:traffic:incident:2764640222589760605,2024-06-03T23:00:00Z,2027-04-29T23:59:00Z,2024-10-24T16:51:42Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
38.0,"[{'points': [{'lat': 51.51787, 'lng': -0.14026}, {'lat': 51.51819, 'lng': -0.14045}], 'length': 38.0}]",2069260364096451424,here:traffic:incident:2069260364096451424,2069260364096451424,here:traffic:incident:2069260364096451424,2024-07-04T07:00:00Z,2024-11-29T17:00:00Z,2024-10-23T14:10:59Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 04/07/2024 - 29/11/2024 (Westminster City Council)
46.0,"[{'points': [{'lat': 51.51185, 'lng': -0.1278}, {'lat': 51.51182, 'lng': -0.12713}], 'length': 46.0}]",3343413047952522074,here:traffic:incident:3343413047952522074,4209369617412420596,here:traffic:incident:4209369617412420596,2024-10-22T07:00:00Z,2024-12-17T17:00:00Z,2024-10-23T14:10:58Z,False,major,construction,[701],Between Leicester Square and Covent Garden - Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 22/10/2024 - 17/12/2024 (Westminster City Council)
50.0,"[{'points': [{'lat': 51.50898, 'lng': -0.13708}, {'lat': 51.50937, 'lng': -0.13744}], 'length': 50.0}]",3622150705693560363,here:traffic:incident:3622150705693560363,3622150705693560363,here:traffic:incident:3622150705693560363,2024-10-24T07:00:00Z,2024-10-25T17:00:00Z,2024-10-24T07:13:05Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 24/10/2024 - 25/10/2024 (Westminster City Council)
178.0,"[{'points': [{'lat': 51.49948, 'lng': -0.1022}, {'lat': 51.49961, 'lng': -0.10191}], 'length': 25.0}, {'points': [{'lat': 51.49961, 'lng': -0.10191}, {'lat': 51.49974, 'lng': -0.10164}], 'length': 24.0}, {'points': [{'lat': 51.49974, 'lng': -0.10164}, {'lat': 51.49985, 'lng': -0.1014}], 'length': 21.0}, {'points': [{'lat': 51.49985, 'lng': -0.1014}, {'lat': 51.50005, 'lng': -0.10096}, {'lat': 51.50018, 'lng': -0.10071}, {'lat': 51.50024, 'lng': -0.1006}], 'length': 70.0}, {'points': [{'lat': 51.50024, 'lng': -0.1006}, {'lat': 51.50031, 'lng': -0.10045}, {'lat': 51.50033, 'lng': -0.10041}], 'length': 17.0}, {'points': [{'lat': 51.50033, 'lng': -0.10041}, {'lat': 51.50046, 'lng': -0.10019}], 'length': 21.0}]",2912972856086489509,here:traffic:incident:2912972856086489509,2912972856086489509,here:traffic:incident:2912972856086489509,2024-07-12T04:51:00Z,2024-12-11T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
43.0,"[{'points': [{'lat': 51.51725, 'lng': -0.13791}, {'lat': 51.5171, 'lng': -0.13774}, {'lat': 51.51693, 'lng': -0.13755}], 'length': 43.0}]",4259251360831492182,here:traffic:incident:4259251360831492182,4259251360831492182,here:traffic:incident:4259251360831492182,2024-10-22T23:00:00Z,2025-11-10T23:59:00Z,2024-10-24T17:42:28Z,False,critical,construction,[802],Long-term road construction,en-US,Long-term road construction,en-US,,,
76.0,"[{'points': [{'lat': 51.5177, 'lng': -0.10609}, {'lat': 51.51837, 'lng': -0.10586}], 'length': 76.0}]",4546871149436778547,here:traffic:incident:4546871149436778547,4546871149436778547,here:traffic:incident:4546871149436778547,2024-10-19T07:00:00Z,2024-11-03T17:00:00Z,2024-10-24T02:14:17Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 19/10/2024 - 03/11/2024 (City of London Corporation)
249.0,"[{'points': [{'lat': 51.50789, 'lng': -0.13125}, {'lat': 51.5077, 'lng': -0.13109}], 'length': 24.0}, {'points': [{'lat': 51.5077, 'lng': -0.13109}, {'lat': 51.50797, 'lng': -0.13033}], 'length': 61.0}, {'points': [{'lat': 51.50797, 'lng': -0.13033}, {'lat': 51.50804, 'lng': -0.13013}], 'length': 16.0}, {'points': [{'lat': 51.50804, 'lng': -0.13013}, {'lat': 51.50816, 'lng': -0.12979}], 'length': 27.0}, {'points': [{'lat': 51.50816, 'lng': -0.12979}, {'lat': 51.5082, 'lng': -0.12967}, {'lat': 51.50824, 'lng': -0.12954}, {'lat': 51.50827, 'lng': -0.12942}, {'lat': 51.50829, 'lng': -0.12931}, {'lat': 51.5083, 'lng': -0.12922}, {'lat': 51.5083, 'lng': -0.12916}], 'length': 47.0}, {'points': [{'lat': 51.5083, 'lng': -0.12916}, {'lat': 51.50829, 'lng': -0.12911}, {'lat': 51.50827, 'lng': -0.12906}, {'lat': 51.50824, 'lng': -0.12902}, {'lat': 51.5082, 'lng': -0.12899}, {'lat': 51.50816, 'lng': -0.12897}, {'lat': 51.50798, 'lng': -0.12889}], 'length': 42.0}, {'points': [{'lat': 51.50798, 'lng': -0.12889}, {'lat': 51.50784, 'lng': -0.12883}], 'length': 16.0}, {'points': [{'lat': 51.50784, 'lng': -0.12883}, {'lat': 51.5077, 'lng': -0.12877}], 'length': 16.0}]",3220751071511425877,here:traffic:incident:3220751071511425877,3220751071511425877,here:traffic:incident:3220751071511425877,2024-08-03T07:00:00Z,2024-11-17T23:59:00Z,2024-10-24T17:36:27Z,True,critical,roadClosure,"[401, 641, 807]",At Waterloo Bridge - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
56.0,"[{'points': [{'lat': 51.51603, 'lng': -0.10124}, {'lat': 51.51608, 'lng': -0.10145}, {'lat': 51.51613, 'lng': -0.10166}, {'lat': 51.51616, 'lng': -0.10177}, {'lat': 51.5162, 'lng': -0.1019}, {'lat': 51.51623, 'lng': -0.10198}], 'length': 56.0}]",1469706224769271544,here:traffic:incident:1469706224769271544,1469706224769271544,here:traffic:incident:1469706224769271544,2024-10-21T09:00:00Z,2024-11-01T23:59:00Z,2024-10-24T15:54:37Z,False,minor,construction,"[708, 807]",Temporary traffic signals,en-US,Temporary traffic signals,en-US,,,
207.0,"[{'points': [{'lat': 51.50559, 'lng': -0.10563}, {'lat': 51.50562, 'lng': -0.10556}], 'length': 6.0}, {'points': [{'lat': 51.50562, 'lng': -0.10556}, {'lat': 51.50583, 'lng': -0.10528}, {'lat': 51.50589, 'lng': -0.10519}, {'lat': 51.50595, 'lng': -0.10508}, {'lat': 51.50607, 'lng': -0.10483}, {'lat': 51.5061, 'lng': -0.10475}, {'lat': 51.50611, 'lng': -0.10466}, {'lat': 51.50611, 'lng': -0.10445}], 'length': 99.0}, {'points': [{'lat': 51.50611, 'lng': -0.10445}, {'lat': 51.5061, 'lng': -0.10416}], 'length': 20.0}, {'points': [{'lat': 51.5061, 'lng': -0.10416}, {'lat': 51.50608, 'lng': -0.10361}], 'length': 38.0}, {'points': [{'lat': 51.50608, 'lng': -0.10361}, {'lat': 51.50607, 'lng': -0.1034}], 'length': 15.0}, {'points': [{'lat': 51.50607, 'lng': -0.1034}, {'lat': 51.50607, 'lng': -0.10321}, {'lat': 51.5061, 'lng': -0.10299}], 'length': 29.0}]",3804415236195775588,here:traffic:incident:3804415236195775588,3804415236195775588,here:traffic:incident:3804415236195775588,2024-10-07T23:00:00Z,2025-01-04T23:59:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 708]",Road construction,en-US,Road construction,en-US,,,
41.0,"[{'points': [{'lat': 51.51643, 'lng': -0.10247}, {'lat': 51.51633, 'lng': -0.10224}, {'lat': 51.51623, 'lng': -0.10198}], 'length': 41.0}]",2313209451968203271,here:traffic:incident:2313209451968203271,2313209451968203271,here:traffic:incident:2313209451968203271,2024-10-21T09:00:00Z,2024-11-01T23:59:00Z,2024-10-24T15:54:37Z,False,minor,construction,"[708, 807]",Temporary traffic signals,en-US,Temporary traffic signals,en-US,,,
77.0,"[{'points': [{'lat': 51.50361, 'lng': -0.10537}, {'lat': 51.50355, 'lng': -0.10566}], 'length': 21.0}, {'points': [{'lat': 51.50355, 'lng': -0.10566}, {'lat': 51.50347, 'lng': -0.10603}], 'length': 27.0}, {'points': [{'lat': 51.50347, 'lng': -0.10603}, {'lat': 51.50337, 'lng': -0.10641}], 'length': 29.0}]",1153267067979528619,here:traffic:incident:1153267067979528619,1153267067979528619,here:traffic:incident:1153267067979528619,2024-09-23T07:00:00Z,2024-10-25T12:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[701, 708]",At Waterloo - Road construction,en-US,Road construction,en-US,,,
111.0,"[{'points': [{'lat': 51.51793, 'lng': -0.10731}, {'lat': 51.51802, 'lng': -0.10704}], 'length': 21.0}, {'points': [{'lat': 51.51802, 'lng': -0.10704}, {'lat': 51.5181, 'lng': -0.10676}], 'length': 21.0}, {'points': [{'lat': 51.5181, 'lng': -0.10676}, {'lat': 51.51837, 'lng': -0.10586}], 'length': 69.0}]",4468912842547607569,here:traffic:incident:4468912842547607569,4468912842547607569,here:traffic:incident:4468912842547607569,2024-10-19T07:00:00Z,2024-11-03T23:59:00Z,2024-10-24T17:42:28Z,False,critical,construction,[701],Between B521/Holborn Circus/Holborn and A201/Farringdon Road - Road construction,en-US,Road construction,en-US,,,
27.0,"[{'points': [{'lat': 51.51774, 'lng': -0.11864}, {'lat': 51.51773, 'lng': -0.11879}, {'lat': 51.51773, 'lng': -0.11888}, {'lat': 51.51773, 'lng': -0.11903}], 'length': 27.0}]",4363831885465313386,here:traffic:incident:4363831885465313386,4363831885465313386,here:traffic:incident:4363831885465313386,2024-10-22T23:00:00Z,2024-11-01T23:59:00Z,2024-10-24T15:54:37Z,False,low,construction,"[807, 641]",Gas pipeline work,en-US,Gas pipeline work,en-US,,,
11.0,"[{'points': [{'lat': 51.50159, 'lng': -0.11047}, {'lat': 51.50169, 'lng': -0.11045}], 'length': 11.0}]",3272577801833839944,here:traffic:incident:3272577801833839944,3272577801833839944,here:traffic:incident:3272577801833839944,2024-10-24T15:45:00Z,2024-10-24T20:00:00Z,2024-10-24T15:56:44Z,True,critical,roadClosure,"[401, 703]",At Waterloo - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
210.0,"[{'points': [{'lat': 51.52053, 'lng': -0.12634}, {'lat': 51.52024, 'lng': -0.12598}], 'length': 41.0}, {'points': [{'lat': 51.52024, 'lng': -0.12598}, {'lat': 51.51998, 'lng': -0.12568}], 'length': 36.0}, {'points': [{'lat': 51.51998, 'lng': -0.12568}, {'lat': 51.51981, 'lng': -0.12548}], 'length': 23.0}, {'points': [{'lat': 51.51981, 'lng': -0.12548}, {'lat': 51.51971, 'lng': -0.12536}], 'length': 14.0}, {'points': [{'lat': 51.51971, 'lng': -0.12536}, {'lat': 51.51938, 'lng': -0.12496}], 'length': 46.0}, {'points': [{'lat': 51.51938, 'lng': -0.12496}, {'lat': 51.51901, 'lng': -0.12455}], 'length': 50.0}]",3914155300898911599,here:traffic:incident:3914155300898911599,3914155300898911599,here:traffic:incident:3914155300898911599,2024-10-22T23:00:00Z,2024-10-31T18:00:00Z,2024-10-24T15:54:37Z,False,low,construction,"[703, 708]",Road maintenance operations,en-US,Road maintenance operations,en-US,,,
