location.length,location.shape.links,incidentDetails.id,incidentDetails.hrn,incidentDetails.originalId,incidentDetails.originalHrn,incidentDetails.startTime,incidentDetails.endTime,incidentDetails.entryTime,incidentDetails.roadClosed,incidentDetails.criticality,incidentDetails.type,incidentDetails.codes,incidentDetails.description.value,incidentDetails.description.language,incidentDetails.summary.value,incidentDetails.summary.language,incidentDetails.junctionTraversability,incidentDetails.vehicleRestrictions,incidentDetails.comment
18.0,"[{'points': [{'lat': 51.51562, 'lng': -0.12868}, {'lat': 51.51559, 'lng': -0.12875}, {'lat': 51.51552, 'lng': -0.12888}], 'length': 18.0}]",2813285370949262733,here:traffic:incident:2813285370949262733,2813285370949262733,here:traffic:incident:2813285370949262733,2024-10-20T23:00:00Z,2024-10-24T22:59:59Z,2024-10-23T14:08:26Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 21/10/2024 - 24/10/2024 (Thames Water)
15.0,"[{'points': [{'lat': 51.50182, 'lng': -0.1104}, {'lat': 51.50178, 'lng': -0.11042}, {'lat': 51.50169, 'lng': -0.11045}], 'length': 15.0}]",1742909221342520424,here:traffic:incident:1742909221342520424,1742909221342520424,here:traffic:incident:1742909221342520424,2024-10-24T15:45:00Z,2024-10-24T20:00:00Z,2024-10-24T15:56:44Z,True,critical,roadClosure,"[401, 703]",At Waterloo - Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
572.0,"[{'points': [{'lat': 51.52335, 'lng': -0.10823}, {'lat': 51.52329, 'lng': -0.10816}, {'lat': 51.52309, 'lng': -0.10794}], 'length': 35.0}, {'points': [{'lat': 51.52309, 'lng': -0.10794}, {'lat': 51.52294, 'lng': -0.10774}], 'length': 22.0}, {'points': [{'lat': 51.52294, 'lng': -0.10774}, {'lat': 51.5229, 'lng': -0.10768}, {'lat': 51.52275, 'lng': -0.10752}], 'length': 26.0}, {'points': [{'lat': 51.52275, 'lng': -0.10752}, {'lat': 51.52266, 'lng': -0.10743}, {'lat': 51.52258, 'lng': -0.10735}, {'lat': 51.52247, 'lng': -0.10725}, {'lat': 51.52238, 'lng': -0.10717}], 'length': 48.0}, {'points': [{'lat': 51.52238, 'lng': -0.10717}, {'lat': 51.52219, 'lng': -0.107}], 'length': 24.0}, {'points': [{'lat': 51.52219, 'lng': -0.107}, {'lat': 51.52209, 'lng': -0.10692}, {'lat': 51.52197, 'lng': -0.10682}, {'lat': 51.5219, 'lng': -0.10676}], 'length': 36.0}, {'points': [{'lat': 51.5219, 'lng': -0.10676}, {'lat': 51.52162, 'lng': -0.10656}], 'length': 34.0}, {'points': [{'lat': 51.52162, 'lng': -0.10656}, {'lat': 51.52139, 'lng': -0.10641}, {'lat': 51.52116, 'lng': -0.10626}], 'length': 55.0}, {'points': [{'lat': 51.52116, 'lng': -0.10626}, {'lat': 51.52081, 'lng': -0.10606}, {'lat': 51.52058, 'lng': -0.10597}], 'length': 68.0}, {'points': [{'lat': 51.52058, 'lng': -0.10597}, {'lat': 51.52049, 'lng': -0.10594}, {'lat': 51.52034, 'lng': -0.10588}], 'length': 27.0}, {'points': [{'lat': 51.52034, 'lng': -0.10588}, {'lat': 51.52027, 'lng': -0.10586}, {'lat': 51.52009, 'lng': -0.10579}], 'length': 28.0}, {'points': [{'lat': 51.52009, 'lng': -0.10579}, {'lat': 51.51994, 'lng': -0.10573}], 'length': 17.0}, {'points': [{'lat': 51.51994, 'lng': -0.10573}, {'lat': 51.51978, 'lng': -0.10567}], 'length': 18.0}, {'points': [{'lat': 51.51978, 'lng': -0.10567}, {'lat': 51.51966, 'lng': -0.10564}], 'length': 14.0}, {'points': [{'lat': 51.51966, 'lng': -0.10564}, {'lat': 51.51918, 'lng': -0.10551}, {'lat': 51.51881, 'lng': -0.1054}], 'length': 96.0}, {'points': [{'lat': 51.51881, 'lng': -0.1054}, {'lat': 51.5186, 'lng': -0.10532}], 'length': 24.0}]",4476778946317433918,here:traffic:incident:4476778946317433918,4476778946317433918,here:traffic:incident:4476778946317433918,2024-09-14T07:00:00Z,2024-11-24T23:59:00Z,2024-10-24T16:57:29Z,True,critical,construction,[735],At Blackfriers Bridge - Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
1035.0,"[{'points': [{'lat': 51.51659, 'lng': -0.14752}, {'lat': 51.51673, 'lng': -0.14677}], 'length': 54.0}, {'points': [{'lat': 51.51673, 'lng': -0.14677}, {'lat': 51.51685, 'lng': -0.14596}], 'length': 58.0}, {'points': [{'lat': 51.51685, 'lng': -0.14596}, {'lat': 51.51698, 'lng': -0.14522}], 'length': 53.0}, {'points': [{'lat': 51.51698, 'lng': -0.14522}, {'lat': 51.517, 'lng': -0.14508}], 'length': 10.0}, {'points': [{'lat': 51.517, 'lng': -0.14508}, {'lat': 51.51701, 'lng': -0.14501}, {'lat': 51.51711, 'lng': -0.14445}], 'length': 45.0}, {'points': [{'lat': 51.51711, 'lng': -0.14445}, {'lat': 51.51723, 'lng': -0.14374}], 'length': 51.0}, {'points': [{'lat': 51.51723, 'lng': -0.14374}, {'lat': 51.51742, 'lng': -0.14284}], 'length': 66.0}, {'points': [{'lat': 51.51742, 'lng': -0.14284}, {'lat': 51.51749, 'lng': -0.14251}, {'lat': 51.51754, 'lng': -0.14223}], 'length': 44.0}, {'points': [{'lat': 51.51754, 'lng': -0.14223}, {'lat': 51.51764, 'lng': -0.14162}], 'length': 44.0}, {'points': [{'lat': 51.51764, 'lng': -0.14162}, {'lat': 51.51777, 'lng': -0.14083}], 'length': 57.0}, {'points': [{'lat': 51.51777, 'lng': -0.14083}, {'lat': 51.51787, 'lng': -0.14026}], 'length': 41.0}, {'points': [{'lat': 51.51787, 'lng': -0.14026}, {'lat': 51.51794, 'lng': -0.13983}], 'length': 31.0}, {'points': [{'lat': 51.51794, 'lng': -0.13983}, {'lat': 51.518, 'lng': -0.13947}, {'lat': 51.51805, 'lng': -0.13923}], 'length': 43.0}, {'points': [{'lat': 51.51805, 'lng': -0.13923}, {'lat': 51.51811, 'lng': -0.13906}, {'lat': 51.51817, 'lng': -0.1389}, {'lat': 51.51834, 'lng': -0.13845}], 'length': 63.0}, {'points': [{'lat': 51.51834, 'lng': -0.13845}, {'lat': 51.51862, 'lng': -0.13767}], 'length': 62.0}, {'points': [{'lat': 51.51862, 'lng': -0.13767}, {'lat': 51.51864, 'lng': -0.13762}], 'length': 4.0}, {'points': [{'lat': 51.51864, 'lng': -0.13762}, {'lat': 51.51883, 'lng': -0.13712}], 'length': 41.0}, {'points': [{'lat': 51.51883, 'lng': -0.13712}, {'lat': 51.51888, 'lng': -0.13698}], 'length': 11.0}, {'points': [{'lat': 51.51888, 'lng': -0.13698}, {'lat': 51.51914, 'lng': -0.1363}], 'length': 55.0}, {'points': [{'lat': 51.51914, 'lng': -0.1363}, {'lat': 51.51918, 'lng': -0.13619}], 'length': 9.0}, {'points': [{'lat': 51.51918, 'lng': -0.13619}, {'lat': 51.51938, 'lng': -0.13562}], 'length': 45.0}, {'points': [{'lat': 51.51938, 'lng': -0.13562}, {'lat': 51.51951, 'lng': -0.13528}, {'lat': 51.51969, 'lng': -0.13482}], 'length': 65.0}, {'points': [{'lat': 51.51969, 'lng': -0.13482}, {'lat': 51.51979, 'lng': -0.13458}], 'length': 20.0}, {'points': [{'lat': 51.51979, 'lng': -0.13458}, {'lat': 51.51991, 'lng': -0.1343}], 'length': 24.0}, {'points': [{'lat': 51.51991, 'lng': -0.1343}, {'lat': 51.52011, 'lng': -0.13384}], 'length': 39.0}]",341856422436343950,here:traffic:incident:341856422436343950,2024425171649338079,here:traffic:incident:2024425171649338079,2024-02-29T12:00:00Z,2024-11-29T17:00:00Z,2024-10-24T17:27:28Z,False,critical,construction,[701],Between W1 and Fitzrovia - Road construction,en-US,Road construction,en-US,,,
111.0,"[{'points': [{'lat': 51.51787, 'lng': -0.14026}, {'lat': 51.51738, 'lng': -0.14003}], 'length': 57.0}, {'points': [{'lat': 51.51738, 'lng': -0.14003}, {'lat': 51.51691, 'lng': -0.13983}], 'length': 54.0}]",3468907623238942090,here:traffic:incident:3468907623238942090,3468907623238942090,here:traffic:incident:3468907623238942090,2024-07-04T07:00:00Z,2024-11-22T23:59:00Z,2024-10-24T16:51:42Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
112.0,"[{'points': [{'lat': 51.50819, 'lng': -0.10546}, {'lat': 51.50718, 'lng': -0.10552}], 'length': 112.0}]",2383237238381478871,here:traffic:incident:2383237238381478871,2383237238381478871,here:traffic:incident:2383237238381478871,2024-10-17T23:00:00Z,2024-10-30T23:59:00Z,2024-10-24T15:54:37Z,False,low,construction,"[708, 807]",Temporary traffic signals,en-US,Temporary traffic signals,en-US,,,
172.0,"[{'points': [{'lat': 51.51271, 'lng': -0.10686}, {'lat': 51.51306, 'lng': -0.10695}], 'length': 39.0}, {'points': [{'lat': 51.51306, 'lng': -0.10695}, {'lat': 51.51358, 'lng': -0.10721}], 'length': 61.0}, {'points': [{'lat': 51.51358, 'lng': -0.10721}, {'lat': 51.51389, 'lng': -0.10736}], 'length': 36.0}, {'points': [{'lat': 51.51389, 'lng': -0.10736}, {'lat': 51.51403, 'lng': -0.10741}], 'length': 16.0}, {'points': [{'lat': 51.51403, 'lng': -0.10741}, {'lat': 51.51421, 'lng': -0.10747}], 'length': 20.0}]",3641720256149533654,here:traffic:incident:3641720256149533654,46070209533790015,here:traffic:incident:46070209533790015,2024-10-23T13:53:24Z,2026-06-03T22:59:00Z,2024-10-23T14:03:11Z,True,critical,construction,[735],Closed due to road construction,en-US,Closed due to road construction,en-US,intermediateClosedEdgeOpen,,
116.0,"[{'points': [{'lat': 51.50816, 'lng': -0.12979}, {'lat': 51.50845, 'lng': -0.13}, {'lat': 51.50854, 'lng': -0.13007}, {'lat': 51.50864, 'lng': -0.13013}, {'lat': 51.50881, 'lng': -0.13026}], 'length': 79.0}, {'points': [{'lat': 51.50881, 'lng': -0.13026}, {'lat': 51.50901, 'lng': -0.13037}], 'length': 23.0}, {'points': [{'lat': 51.50901, 'lng': -0.13037}, {'lat': 51.50907, 'lng': -0.13041}, {'lat': 51.50913, 'lng': -0.13045}], 'length': 14.0}]",689600094323334116,here:traffic:incident:689600094323334116,689600094323334116,here:traffic:incident:689600094323334116,2024-06-09T23:00:00Z,2025-05-10T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
90.0,"[{'points': [{'lat': 51.51162, 'lng': -0.14486}, {'lat': 51.51144, 'lng': -0.14563}], 'length': 57.0}, {'points': [{'lat': 51.51144, 'lng': -0.14563}, {'lat': 51.51135, 'lng': -0.14609}], 'length': 33.0}]",3905565285564076122,here:traffic:incident:3905565285564076122,3905565285564076122,here:traffic:incident:3905565285564076122,2024-09-10T07:00:00Z,2024-10-28T18:00:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
36.0,"[{'points': [{'lat': 51.50623, 'lng': -0.14672}, {'lat': 51.50619, 'lng': -0.147}], 'length': 20.0}, {'points': [{'lat': 51.50619, 'lng': -0.147}, {'lat': 51.50616, 'lng': -0.14722}], 'length': 16.0}]",1379291410003507659,here:traffic:incident:1379291410003507659,1379291410003507659,here:traffic:incident:1379291410003507659,2024-10-01T11:00:00Z,2024-10-28T16:00:00Z,2024-10-23T15:07:26Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 01/10/2024 - 28/10/2024 (Westminster City Council)
43.0,"[{'points': [{'lat': 51.50375, 'lng': -0.10649}, {'lat': 51.50337, 'lng': -0.10641}], 'length': 43.0}]",1474342912249251492,here:traffic:incident:1474342912249251492,1474342912249251492,here:traffic:incident:1474342912249251492,2024-09-23T07:00:00Z,2024-10-25T16:00:00Z,2024-10-24T16:51:42Z,False,minor,construction,[701],Road construction,en-US,Road construction,en-US,,,
37.0,"[{'points': [{'lat': 51.50956, 'lng': -0.13164}, {'lat': 51.50968, 'lng': -0.13174}], 'length': 15.0}, {'points': [{'lat': 51.50968, 'lng': -0.13174}, {'lat': 51.50985, 'lng': -0.13191}], 'length': 22.0}]",4239627709771752864,here:traffic:incident:4239627709771752864,4239627709771752864,here:traffic:incident:4239627709771752864,2024-10-15T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T17:43:29Z,False,critical,construction,[703],Road maintenance operations,en-US,Road maintenance operations,en-US,,,
173.0,"[{'points': [{'lat': 51.5186, 'lng': -0.10532}, {'lat': 51.51891, 'lng': -0.10428}], 'length': 80.0}, {'points': [{'lat': 51.51891, 'lng': -0.10428}, {'lat': 51.51928, 'lng': -0.10308}], 'length': 93.0}]",2855996572123977698,here:traffic:incident:2855996572123977698,3354942366590550057,here:traffic:incident:3354942366590550057,2024-10-23T13:53:24Z,2024-11-10T23:59:00Z,2024-10-23T14:03:11Z,True,critical,roadClosure,[401],Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
35.0,"[{'points': [{'lat': 51.50682, 'lng': -0.14693}, {'lat': 51.50676, 'lng': -0.14743}], 'length': 35.0}]",3990766006797993483,here:traffic:incident:3990766006797993483,3990766006797993483,here:traffic:incident:3990766006797993483,2024-09-15T23:00:00Z,2025-08-15T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 802]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
417.0,"[{'points': [{'lat': 51.5186, 'lng': -0.10532}, {'lat': 51.51881, 'lng': -0.1054}], 'length': 24.0}, {'points': [{'lat': 51.51881, 'lng': -0.1054}, {'lat': 51.51918, 'lng': -0.10551}, {'lat': 51.51966, 'lng': -0.10564}], 'length': 96.0}, {'points': [{'lat': 51.51966, 'lng': -0.10564}, {'lat': 51.51978, 'lng': -0.10567}], 'length': 14.0}, {'points': [{'lat': 51.51978, 'lng': -0.10567}, {'lat': 51.51994, 'lng': -0.10573}], 'length': 18.0}, {'points': [{'lat': 51.51994, 'lng': -0.10573}, {'lat': 51.52009, 'lng': -0.10579}], 'length': 17.0}, {'points': [{'lat': 51.52009, 'lng': -0.10579}, {'lat': 51.52027, 'lng': -0.10586}, {'lat': 51.52034, 'lng': -0.10588}], 'length': 28.0}, {'points': [{'lat': 51.52034, 'lng': -0.10588}, {'lat': 51.52049, 'lng': -0.10594}, {'lat': 51.52058, 'lng': -0.10597}], 'length': 27.0}, {'points': [{'lat': 51.52058, 'lng': -0.10597}, {'lat': 51.52081, 'lng': -0.10606}, {'lat': 51.52116, 'lng': -0.10626}], 'length': 68.0}, {'points': [{'lat': 51.52116, 'lng': -0.10626}, {'lat': 51.52139, 'lng': -0.10641}, {'lat': 51.52162, 'lng': -0.10656}], 'length': 55.0}, {'points': [{'lat': 51.52162, 'lng': -0.10656}, {'lat': 51.5219, 'lng': -0.10676}], 'length': 34.0}, {'points': [{'lat': 51.5219, 'lng': -0.10676}, {'lat': 51.52197, 'lng': -0.10682}, {'lat': 51.52209, 'lng': -0.10692}, {'lat': 51.52219, 'lng': -0.107}], 'length': 36.0}]",4636079563507815377,here:traffic:incident:4636079563507815377,4195253137686777037,here:traffic:incident:4195253137686777037,2024-09-14T07:00:00Z,2024-11-24T23:59:00Z,2024-10-24T17:02:28Z,False,critical,construction,[701],At Kings Cross - Road construction,en-US,Road construction,en-US,,,
42.0,"[{'points': [{'lat': 51.51532, 'lng': -0.13362}, {'lat': 51.51497, 'lng': -0.13339}], 'length': 42.0}]",256234037256665680,here:traffic:incident:256234037256665680,256234037256665680,here:traffic:incident:256234037256665680,2024-10-21T07:00:00Z,2024-10-24T22:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[401, 806]",Closed,en-US,Closed,en-US,intermediateClosedEdgeOpen,,
43.0,"[{'points': [{'lat': 51.51695, 'lng': -0.10292}, {'lat': 51.51698, 'lng': -0.10296}, {'lat': 51.51704, 'lng': -0.10302}, {'lat': 51.51709, 'lng': -0.10309}, {'lat': 51.51714, 'lng': -0.10317}, {'lat': 51.51721, 'lng': -0.10336}], 'length': 43.0}]",2001563749990637703,here:traffic:incident:2001563749990637703,2001563749990637703,here:traffic:incident:2001563749990637703,2024-10-14T07:00:00Z,2024-11-15T18:00:00Z,2024-10-23T14:08:26Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 14/10/2024 - 15/11/2024 (UK Power Networks)
98.0,"[{'points': [{'lat': 51.49969, 'lng': -0.13274}, {'lat': 51.49971, 'lng': -0.13273}, {'lat': 51.50017, 'lng': -0.13258}], 'length': 54.0}, {'points': [{'lat': 51.50017, 'lng': -0.13258}, {'lat': 51.50056, 'lng': -0.13248}], 'length': 44.0}]",3302650114795798110,here:traffic:incident:3302650114795798110,3302650114795798110,here:traffic:incident:3302650114795798110,2022-11-22T00:00:00Z,2024-12-10T23:59:00Z,2024-10-24T15:54:37Z,True,critical,roadClosure,"[405, 701]",Closed to through traffic,en-US,Closed to through traffic,en-US,intermediateClosedEdgeOpen,"[{'vehicleType': 'other', 'restriction': {'trafficType': 'throughTraffic'}}]",
343.0,"[{'points': [{'lat': 51.51182, 'lng': -0.12713}, {'lat': 51.51192, 'lng': -0.12689}], 'length': 20.0}, {'points': [{'lat': 51.51192, 'lng': -0.12689}, {'lat': 51.51216, 'lng': -0.12621}], 'length': 54.0}, {'points': [{'lat': 51.51216, 'lng': -0.12621}, {'lat': 51.51221, 'lng': -0.12606}], 'length': 12.0}, {'points': [{'lat': 51.51221, 'lng': -0.12606}, {'lat': 51.51232, 'lng': -0.12582}], 'length': 21.0}, {'points': [{'lat': 51.51232, 'lng': -0.12582}, {'lat': 51.51254, 'lng': -0.12538}], 'length': 39.0}, {'points': [{'lat': 51.51254, 'lng': -0.12538}, {'lat': 51.51256, 'lng': -0.12535}], 'length': 3.0}, {'points': [{'lat': 51.51256, 'lng': -0.12535}, {'lat': 51.51286, 'lng': -0.12479}], 'length': 51.0}, {'points': [{'lat': 51.51286, 'lng': -0.12479}, {'lat': 51.5132, 'lng': -0.1242}], 'length': 56.0}, {'points': [{'lat': 51.5132, 'lng': -0.1242}, {'lat': 51.51327, 'lng': -0.12407}], 'length': 12.0}, {'points': [{'lat': 51.51327, 'lng': -0.12407}, {'lat': 51.51347, 'lng': -0.12375}], 'length': 31.0}, {'points': [{'lat': 51.51347, 'lng': -0.12375}, {'lat': 51.51359, 'lng': -0.12356}], 'length': 19.0}, {'points': [{'lat': 51.51359, 'lng': -0.12356}, {'lat': 51.51368, 'lng': -0.1234}], 'length': 15.0}, {'points': [{'lat': 51.51368, 'lng': -0.1234}, {'lat': 51.51376, 'lng': -0.12332}], 'length': 10.0}]",73505898531618263,here:traffic:incident:73505898531618263,4293578604310509994,here:traffic:incident:4293578604310509994,2024-10-23T08:00:00Z,2024-10-27T23:59:59Z,2024-10-24T17:00:28Z,False,critical,construction,[701],At Covent Garden - Road construction,en-US,Road construction,en-US,,,
43.0,"[{'points': [{'lat': 51.50102, 'lng': -0.12611}, {'lat': 51.501, 'lng': -0.1258}], 'length': 22.0}, {'points': [{'lat': 51.501, 'lng': -0.1258}, {'lat': 51.50099, 'lng': -0.1256}, {'lat': 51.50099, 'lng': -0.1255}], 'length': 21.0}]",2271918341716909264,here:traffic:incident:2271918341716909264,2271918341716909264,here:traffic:incident:2271918341716909264,2024-10-21T07:00:00Z,2024-10-30T18:00:00Z,2024-10-23T14:08:28Z,False,major,construction,[701],At Westminster - Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 21/10/2024 - 30/10/2024 (UK Power Networks)
26.0,"[{'points': [{'lat': 51.51419, 'lng': -0.12264}, {'lat': 51.51402, 'lng': -0.1229}], 'length': 26.0}]",528662986941869903,here:traffic:incident:528662986941869903,528662986941869903,here:traffic:incident:528662986941869903,2024-08-18T23:00:00Z,2024-11-30T23:59:00Z,2024-10-24T15:54:37Z,False,low,construction,[701],At Covent Garden - Road construction,en-US,Road construction,en-US,,,
640.0,"[{'points': [{'lat': 51.52309, 'lng': -0.10794}, {'lat': 51.52309, 'lng': -0.10779}, {'lat': 51.52309, 'lng': -0.10762}], 'length': 22.0}, {'points': [{'lat': 51.52309, 'lng': -0.10762}, {'lat': 51.52308, 'lng': -0.10744}, {'lat': 51.52307, 'lng': -0.10728}], 'length': 24.0}, {'points': [{'lat': 51.52307, 'lng': -0.10728}, {'lat': 51.52289, 'lng': -0.10694}], 'length': 31.0}, {'points': [{'lat': 51.52289, 'lng': -0.10694}, {'lat': 51.52277, 'lng': -0.10668}], 'length': 22.0}, {'points': [{'lat': 51.52277, 'lng': -0.10668}, {'lat': 51.52269, 'lng': -0.10655}, {'lat': 51.52259, 'lng': -0.10641}], 'length': 27.0}, {'points': [{'lat': 51.52259, 'lng': -0.10641}, {'lat': 51.52244, 'lng': -0.10632}, {'lat': 51.52225, 'lng': -0.10619}], 'length': 41.0}, {'points': [{'lat': 51.52225, 'lng': -0.10619}, {'lat': 51.52223, 'lng': -0.10646}, {'lat': 51.52221, 'lng': -0.10667}, {'lat': 51.5222, 'lng': -0.10683}, {'lat': 51.52219, 'lng': -0.107}], 'length': 56.0}, {'points': [{'lat': 51.52219, 'lng': -0.107}, {'lat': 51.52209, 'lng': -0.10692}, {'lat': 51.52197, 'lng': -0.10682}, {'lat': 51.5219, 'lng': -0.10676}], 'length': 36.0}, {'points': [{'lat': 51.5219, 'lng': -0.10676}, {'lat': 51.52162, 'lng': -0.10656}], 'length': 34.0}, {'points': [{'lat': 51.52162, 'lng': -0.10656}, {'lat': 51.52139, 'lng': -0.10641}, {'lat': 51.52116, 'lng': -0.10626}], 'length': 55.0}, {'points': [{'lat': 51.52116, 'lng': -0.10626}, {'lat': 51.52081, 'lng': -0.10606}, {'lat': 51.52058, 'lng': -0.10597}], 'length': 68.0}, {'points': [{'lat': 51.52058, 'lng': -0.10597}, {'lat': 51.52049, 'lng': -0.10594}, {'lat': 51.52034, 'lng': -0.10588}], 'length': 27.0}, {'points': [{'lat': 51.52034, 'lng': -0.10588}, {'lat': 51.52027, 'lng': -0.10586}, {'lat': 51.52009, 'lng': -0.10579}], 'length': 28.0}, {'points': [{'lat': 51.52009, 'lng': -0.10579}, {'lat': 51.51994, 'lng': -0.10573}], 'length': 17.0}, {'points': [{'lat': 51.51994, 'lng': -0.10573}, {'lat': 51.51978, 'lng': -0.10567}], 'length': 18.0}, {'points': [{'lat': 51.51978, 'lng': -0.10567}, {'lat': 51.51966, 'lng': -0.10564}], 'length': 14.0}, {'points': [{'lat': 51.51966, 'lng': -0.10564}, {'lat': 51.51918, 'lng': -0.10551}, {'lat': 51.51881, 'lng': -0.1054}], 'length': 96.0}, {'points': [{'lat': 51.51881, 'lng': -0.1054}, {'lat': 51.5186, 'lng': -0.10532}], 'length': 24.0}]",3335442130301805260,here:traffic:incident:3335442130301805260,3335442130301805260,here:traffic:incident:3335442130301805260,2024-09-02T07:14:00Z,2024-11-17T23:59:59Z,2024-10-24T02:54:16Z,False,major,construction,[701],Road construction,en-US,Road construction,en-US,,,Roadworks scheduled 02/09/2024 - 17/11/2024 (Cadent)
